reps,variety,Yield,id,plantDate,Mulching
3,Shorouq,24.80,1,2-28-2016,Black
3,Mykonos,36.20,2,2-28-2016,White
3,Rio Grande,10.80,3,2-28-2016,Bare-soil
3,Tam Hot-Ty,17.80,4,2-28-2016,Bare-soil
3,Rio Grande,38.80,5,2-28-2016,White
3,SV8579TE,36.40,6,2-28-2016,Black
3,Rio Grande,1.40,7,2-28-2016,Black
3,Prunus,33.40,8,2-28-2016,White
3,Seri,27.20,9,2-28-2016,Bare-soil
3,SV8579TE,17.40,10,2-28-2016,Bare-soil
3,Seri,41.20,11,2-28-2016,White
3,Prunus,15.80,12,2-28-2016,Black
3,Rio Grande,35.00,13,2-28-2016,Black
3,Tam Hot-Ty,28.60,14,2-28-2016,White
3,Prunus,17.00,15,2-28-2016,Bare-soil
3,Mykonos,35.20,16,2-28-2016,Bare-soil
3,Rio Grande,41.60,17,2-28-2016,White
3,Seri,24.80,18,2-28-2016,Black
3,Tam Hot-Ty,22.00,19,2-28-2016,Black
3,Shorouq,37.70,20,2-28-2016,White
3,DRP-8551,22.80,21,2-28-2016,Bare-soil
3,Rio Grande,11.20,22,2-28-2016,Bare-soil
3,DRP-8551,63.40,23,2-28-2016,White
3,Mykonos,24.00,24,2-28-2016,Black
3,DRP-8551,9.40,25,2-28-2016,Black
3,SV8579TE,52.00,26,2-28-2016,White
3,Shorouq,23.60,27,2-28-2016,Bare-soil
2,Seri,37.60,28,2-28-2016,Bare-soil
2,Rio Grande,39.40,29,2-28-2016,White
2,Seri,59.20,30,2-28-2016,Black
2,Tam Hot-Ty,1.20,31,2-28-2016,Black
2,SV8579TE,48.40,32,2-28-2016,White
2,Mykonos,20.80,33,2-28-2016,Bare-soil
2,SV8579TE,20.80,34,2-28-2016,Bare-soil
2,Seri,60.60,35,2-28-2016,White
2,DRP-8551,32.80,36,2-28-2016,Black
2,Rio Grande,17.40,37,2-28-2016,Black
2,Shorouq,54.80,38,2-28-2016,White
2,Tam Hot-Ty,19.80,39,2-28-2016,Bare-soil
2,DRP-8551,36.80,40,2-28-2016,Bare-soil
2,Rio Grande,29.20,41,2-28-2016,White
2,Mykonos,33.80,42,2-28-2016,Black
2,Shorouq,40.20,43,2-28-2016,Black
2,Tam Hot-Ty,50.20,44,2-28-2016,White
2,Prunus,0.60,45,2-28-2016,Bare-soil
2,Rio Grande,3.80,46,2-28-2016,Bare-soil
2,Prunus,7.40,47,2-28-2016,White
2,SV8579TE,33.80,48,2-28-2016,Black
2,Rio Grande,22.40,49,2-28-2016,Black
2,Mykonos,31.60,50,2-28-2016,White
2,Shorouq,24.40,51,2-28-2016,Bare-soil
2,Rio Grande,8.80,52,2-28-2016,Bare-soil
2,DRP-8551,40.00,53,2-28-2016,White
2,Prunus,24.80,54,2-28-2016,Black
1,SV8579TE,36.40,55,2-28-2016,Black
1,Tam Hot-Ty,46.40,56,2-28-2016,White
